meal_name,meal_type,cuisine,diet,goal,mood,features
Ganthiya,Evening Snacks,Gujarati,Vegetarian,Weight Gain,Festive,"snacks gujarati vegetarian weight_gain festive"
Sev Mamra,Evening Snacks,Gujarati,Vegetarian,Balanced,Energetic,"snacks gujarati vegetarian balanced energetic"
Bhakarwadi,Evening Snacks,Gujarati,Vegetarian,Balanced,Spicy,"snacks gujarati vegetarian balanced spicy"
Lilva Kachori,Evening Snacks,Gujarati,Vegetarian,Weight Gain,Festive,"snacks gujarati vegetarian weight_gain festive"

Khichdi,Dinner,Gujarati,Vegetarian,Weight Loss,Healthy,"dinner gujarati vegetarian weight_loss healthy"
Dal Dhokli,Dinner,Gujarati,Vegetarian,Balanced,Comfort Food,"dinner gujarati vegetarian balanced comfort"
Bajra Rotla,Dinner,Gujarati,Vegetarian,Balanced,Healthy,"dinner gujarati vegetarian balanced healthy"
Sev Tameta Nu Shaak,Dinner,Gujarati,Vegetarian,Balanced,Spicy,"dinner gujarati vegetarian balanced spicy"
Methi Thepla,Dinner,Gujarati,Vegetarian,Balanced,Comfort Food,"dinner gujarati vegetarian balanced comfort"
Muthiya,Dinner,Gujarati,Vegetarian,Healthy,Healthy,"dinner gujarati vegetarian healthy healthy"
Tuver Dal Khichdi,Dinner,Gujarati,Vegetarian,Balanced,Comfort Food,"dinner gujarati vegetarian balanced comfort"

Aloo Paratha,Breakfast,Punjabi,Vegetarian,Weight Gain,Comfort Food,"breakfast punjabi vegetarian weight_gain comfort"
Paneer Paratha,Breakfast,Punjabi,Vegetarian,High Protein,Energetic,"breakfast punjabi vegetarian high_protein energetic"
Methi Paratha,Breakfast,Punjabi,Vegetarian,Balanced,Healthy,"breakfast punjabi vegetarian balanced healthy"
Chole Kulche,Breakfast,Punjabi,Vegetarian,Weight Gain,Festive,"breakfast punjabi vegetarian weight_gain festive"
Gobhi Paratha,Breakfast,Punjabi,Vegetarian,Balanced,Comfort Food,"breakfast punjabi vegetarian balanced comfort"
Paneer Bhurji,Breakfast,Punjabi,Vegetarian,High Protein,Energetic,"breakfast punjabi vegetarian high_protein energetic"
Lassi Combo,Breakfast,Punjabi,Vegetarian,Weight Gain,Festive,"breakfast punjabi vegetarian weight_gain festive"

Paneer Sandwich,Brunch,Punjabi,Vegetarian,High Protein,Energetic,"brunch punjabi vegetarian high_protein energetic"
Paneer Tikka,Brunch,Punjabi,Vegetarian,High Protein,Spicy,"brunch punjabi vegetarian high_protein spicy"
Amritsari Kulcha,Brunch,Punjabi,Vegetarian,Weight Gain,Comfort Food,"brunch punjabi vegetarian weight_gain comfort"
Stuffed Kulcha,Brunch,Punjabi,Vegetarian,Weight Gain,Festive,"brunch punjabi vegetarian weight_gain festive"
Chole Bhature,Brunch,Punjabi,Vegetarian,Weight Gain,Party,"brunch punjabi vegetarian weight_gain party"
Paneer Roll,Brunch,Punjabi,Vegetarian,High Protein,Energetic,"brunch punjabi vegetarian high_protein energetic"
Cheese Kulcha,Brunch,Punjabi,Vegetarian,Weight Gain,Comfort Food,"brunch punjabi vegetarian weight_gain comfort"

Rajma Chawal,Lunch,Punjabi,Vegetarian,Balanced,Comfort Food,"lunch punjabi vegetarian balanced comfort"
Chole Chawal,Lunch,Punjabi,Vegetarian,Balanced,Comfort Food,"lunch punjabi vegetarian balanced comfort"
Dal Makhani,Lunch,Punjabi,Vegetarian,Weight Gain,Comfort Food,"lunch punjabi vegetarian weight_gain comfort"
Paneer Butter Masala,Lunch,Punjabi,Vegetarian,Weight Gain,Party,"lunch punjabi vegetarian weight_gain party"
Amritsari Chole,Lunch,Punjabi,Vegetarian,Balanced,Spicy,"lunch punjabi vegetarian balanced spicy"
Kadai Paneer,Lunch,Punjabi,Vegetarian,Balanced,Spicy,"lunch punjabi vegetarian balanced spicy"
Egg Curry,Lunch,Punjabi,Non Vegetarian,High Protein,Comfort Food,"lunch punjabi non_vegetarian high_protein comfort"


Samosa,Evening Snacks,Punjabi,Vegetarian,Weight Gain,Comfort Food,"snacks punjabi vegetarian weight_gain comfort"
Paneer Pakoda,Evening Snacks,Punjabi,Vegetarian,High Protein,Spicy,"snacks punjabi vegetarian high_protein spicy"
Aloo Tikki,Evening Snacks,Punjabi,Vegetarian,Balanced,Comfort Food,"snacks punjabi vegetarian balanced comfort"
Chole Kulche,Evening Snacks,Punjabi,Vegetarian,Weight Gain,Festive,"snacks punjabi vegetarian weight_gain festive"
Bread Pakora,Evening Snacks,Punjabi,Vegetarian,Weight Gain,Comfort Food,"snacks punjabi vegetarian weight_gain comfort"
Veg Cutlet,Evening Snacks,Punjabi,Vegetarian,Balanced,Energetic,"snacks punjabi vegetarian balanced energetic"
Chicken Nuggets,Evening Snacks,Punjabi,Non Vegetarian,High Protein,Party,"snacks punjabi non_vegetarian high_protein party"

Palak Paneer,Dinner,Punjabi,Vegetarian,High Protein,Healthy,"dinner punjabi vegetarian high_protein healthy"
Shahi Paneer,Dinner,Punjabi,Vegetarian,Weight Gain,Party,"dinner punjabi vegetarian weight_gain party"
Dal Tadka,Dinner,Punjabi,Vegetarian,Balanced,Comfort Food,"dinner punjabi vegetarian balanced comfort"
Butter Chicken,Dinner,Punjabi,Non Vegetarian,Weight Gain,Spicy,"dinner punjabi non_vegetarian weight_gain spicy"
Tandoori Chicken,Dinner,Punjabi,Non Vegetarian,High Protein,Party,"dinner punjabi non_vegetarian high_protein party"
Kadai Paneer,Dinner,Punjabi,Vegetarian,Balanced,Spicy,"dinner punjabi vegetarian balanced spicy"
Egg Curry,Dinner,Punjabi,Non Vegetarian,High Protein,Comfort Food,"dinner punjabi non_vegetarian high_protein comfort"

Idli Sambar,Breakfast,South Indian,Vegetarian,Weight Loss,Healthy,"breakfast south_indian vegetarian weight_loss healthy"
Upma,Breakfast,South Indian,Vegetarian,Weight Loss,Healthy,"breakfast south_indian vegetarian weight_loss healthy"
Medu Vada,Breakfast,South Indian,Vegetarian,Weight Gain,Comfort Food,"breakfast south_indian vegetarian weight_gain comfort"
Pongal,Breakfast,South Indian,Vegetarian,Balanced,Comfort Food,"breakfast south_indian vegetarian balanced comfort"
Appam,Breakfast,South Indian,Vegetarian,Balanced,Comfort Food,"breakfast south_indian vegetarian balanced comfort"
Neer Dosa,Breakfast,South Indian,Vegetarian,Healthy,Healthy,"breakfast south_indian vegetarian healthy healthy"
Kesari Bath,Breakfast,South Indian,Vegetarian,Weight Gain,Festive,"breakfast south_indian vegetarian weight_gain festive"

Masala Dosa,Brunch,South Indian,Vegetarian,Balanced,Comfort Food,"brunch south_indian vegetarian balanced comfort"
Uttapam,Brunch,South Indian,Vegetarian,Balanced,Healthy,"brunch south_indian vegetarian balanced healthy"
Pesarattu,Brunch,South Indian,Vegetarian,High Protein,Energetic,"brunch south_indian vegetarian high_protein energetic"
Rava Dosa,Brunch,South Indian,Vegetarian,Balanced,Comfort Food,"brunch south_indian vegetarian balanced comfort"
Mysore Masala Dosa,Brunch,South Indian,Vegetarian,Balanced,Spicy,"brunch south_indian vegetarian balanced spicy"
Idiyappam,Brunch,South Indian,Vegetarian,Healthy,Healthy,"brunch south_indian vegetarian healthy healthy"
Adai Dosa,Brunch,South Indian,Vegetarian,High Protein,Energetic,"brunch south_indian vegetarian high_protein energetic"

Lemon Rice,Lunch,South Indian,Vegetarian,Weight Loss,Comfort Food,"lunch south_indian vegetarian weight_loss comfort"
Curd Rice,Lunch,South Indian,Vegetarian,Healthy,Comfort Food,"lunch south_indian vegetarian healthy comfort"
Sambar Rice,Lunch,South Indian,Vegetarian,Balanced,Comfort Food,"lunch south_indian vegetarian balanced comfort"
Tomato Rice,Lunch,South Indian,Vegetarian,Balanced,Energetic,"lunch south_indian vegetarian balanced energetic"
Puliyodarai,Lunch,South Indian,Vegetarian,Balanced,Festive,"lunch south_indian vegetarian balanced festive"
Rasam Rice,Lunch,South Indian,Vegetarian,Weight Loss,Healthy,"lunch south_indian vegetarian weight_loss healthy"
Bisibele Bath,Lunch,South Indian,Vegetarian,Balanced,Comfort Food,"lunch south_indian vegetarian balanced comfort"

Murukku,Evening Snacks,South Indian,Vegetarian,Balanced,Comfort Food,"snacks south_indian vegetarian balanced comfort"
Banana Chips,Evening Snacks,South Indian,Vegetarian,Balanced,Festive,"snacks south_indian vegetarian balanced festive"
Mysore Bonda,Evening Snacks,South Indian,Vegetarian,Weight Gain,Comfort Food,"snacks south_indian vegetarian weight_gain comfort"
Punugulu,Evening Snacks,South Indian,Vegetarian,Balanced,Spicy,"snacks south_indian vegetarian balanced spicy"
Ribbon Pakoda,Evening Snacks,South Indian,Vegetarian,Balanced,Spicy,"snacks south_indian vegetarian balanced spicy"
Medu Pakoda,Evening Snacks,South Indian,Vegetarian,Weight Gain,Comfort Food,"snacks south_indian vegetarian weight_gain comfort"
Kara Boondi,Evening Snacks,South Indian,Vegetarian,Balanced,Energetic,"snacks south_indian vegetarian balanced energetic"

Set Dosa,Dinner,South Indian,Vegetarian,Balanced,Comfort Food,"dinner south_indian vegetarian balanced comfort"
Pongal,Dinner,South Indian,Vegetarian,Healthy,Comfort Food,"dinner south_indian vegetarian healthy comfort"
Rava Dosa,Dinner,South Indian,Vegetarian,Balanced,Energetic,"dinner south_indian vegetarian balanced energetic"
Puliyodarai,Dinner,South Indian,Vegetarian,Balanced,Festive,"dinner south_indian vegetarian balanced festive"
Curd Rice,Dinner,South Indian,Vegetarian,Weight Loss,Healthy,"dinner south_indian vegetarian weight_loss healthy"
Vegetable Stew,Dinner,South Indian,Vegetarian,Healthy,Healthy,"dinner south_indian vegetarian healthy healthy"
Appam Stew,Dinner,South Indian,Vegetarian,Balanced,Comfort Food,"dinner south_indian vegetarian balanced comfort"

Poha,Breakfast,North Indian,Vegetarian,Weight Loss,Healthy,"breakfast north_indian vegetarian weight_loss healthy"
Stuffed Paratha,Breakfast,North Indian,Vegetarian,Weight Gain,Comfort Food,"breakfast north_indian vegetarian weight_gain comfort"
Besan Chilla,Breakfast,North Indian,Vegetarian,High Protein,Energetic,"breakfast north_indian vegetarian high_protein energetic"
Boiled Eggs,Breakfast,North Indian,Non Vegetarian,Weight Loss,Healthy,"breakfast north_indian non_vegetarian weight_loss healthy"
Moong Dal Chilla,Breakfast,North Indian,Vegetarian,High Protein,Healthy,"breakfast north_indian vegetarian high_protein healthy"
Vegetable Poha,Breakfast,North Indian,Vegetarian,Weight Loss,Healthy,"breakfast north_indian vegetarian weight_loss healthy"
Egg Omelette,Breakfast,North Indian,Non Vegetarian,High Protein,Energetic,"breakfast north_indian non_vegetarian high_protein energetic"

Paneer Sandwich,Brunch,North Indian,Vegetarian,High Protein,Energetic,"brunch north_indian vegetarian high_protein energetic"
Veg Wrap,Brunch,North Indian,Vegetarian,Balanced,Energetic,"brunch north_indian vegetarian balanced energetic"
Chicken Sandwich,Brunch,North Indian,Non Vegetarian,High Protein,Energetic,"brunch north_indian non_vegetarian high_protein energetic"
Paneer Tikka,Brunch,North Indian,Vegetarian,High Protein,Spicy,"brunch north_indian vegetarian high_protein spicy"
Veg Cutlet,Brunch,North Indian,Vegetarian,Balanced,Comfort Food,"brunch north_indian vegetarian balanced comfort"
Chicken Wrap,Brunch,North Indian,Non Vegetarian,High Protein,Energetic,"brunch north_indian non_vegetarian high_protein energetic"
Cheese Sandwich,Brunch,North Indian,Vegetarian,Weight Gain,Comfort Food,"brunch north_indian vegetarian weight_gain comfort"

Dal Tadka,Lunch,North Indian,Vegetarian,Balanced,Comfort Food,"lunch north_indian vegetarian balanced comfort"
Veg Pulao,Lunch,North Indian,Vegetarian,Balanced,Healthy,"lunch north_indian vegetarian balanced healthy"
Paneer Butter Masala,Lunch,North Indian,Vegetarian,Weight Gain,Party,"lunch north_indian vegetarian weight_gain party"
Chicken Curry,Lunch,North Indian,Non Vegetarian,Balanced,Spicy,"lunch north_indian non_vegetarian balanced spicy"
Mutton Curry,Lunch,North Indian,Non Vegetarian,Weight Gain,Comfort Food,"lunch north_indian non_vegetarian weight_gain comfort"
Kadai Paneer,Lunch,North Indian,Vegetarian,Balanced,Spicy,"lunch north_indian vegetarian balanced spicy"
Egg Curry,Lunch,North Indian,Non Vegetarian,High Protein,Comfort Food,"lunch north_indian non_vegetarian high_protein comfort"

Samosa,Evening Snacks,North Indian,Vegetarian,Weight Gain,Comfort Food,"snacks north_indian vegetarian weight_gain comfort"
Aloo Tikki,Evening Snacks,North Indian,Vegetarian,Balanced,Comfort Food,"snacks north_indian vegetarian balanced comfort"
Chicken Momos,Evening Snacks,North Indian,Non Vegetarian,Balanced,Energetic,"snacks north_indian non_vegetarian balanced energetic"
Chicken Tikka,Evening Snacks,North Indian,Non Vegetarian,High Protein,Spicy,"snacks north_indian non_vegetarian high_protein spicy"
Bread Pakora,Evening Snacks,North Indian,Vegetarian,Weight Gain,Comfort Food,"snacks north_indian vegetarian weight_gain comfort"
Veg Spring Roll,Evening Snacks,North Indian,Vegetarian,Balanced,Energetic,"snacks north_indian vegetarian balanced energetic"
Chicken Nuggets,Evening Snacks,North Indian,Non Vegetarian,High Protein,Party,"snacks north_indian non_vegetarian high_protein party"

Palak Paneer,Dinner,North Indian,Vegetarian,High Protein,Healthy,"dinner north_indian vegetarian high_protein healthy"
Shahi Paneer,Dinner,North Indian,Vegetarian,Weight Gain,Party,"dinner north_indian vegetarian weight_gain party"
Dal Makhani,Dinner,North Indian,Vegetarian,Weight Gain,Comfort Food,"dinner north_indian vegetarian weight_gain comfort"
Chicken Kebab,Dinner,North Indian,Non Vegetarian,High Protein,Party,"dinner north_indian non_vegetarian high_protein party"
Mutton Curry,Dinner,North Indian,Non Vegetarian,Weight Gain,Spicy,"dinner north_indian non_vegetarian weight_gain spicy"
Kadai Paneer,Dinner,North Indian,Vegetarian,Balanced,Spicy,"dinner north_indian vegetarian balanced spicy"
Egg Curry,Dinner,North Indian,Non Vegetarian,High Protein,Comfort Food,"dinner north_indian non_vegetarian high_protein comfort"

Poha,Breakfast,Maharashtrian,Vegetarian,Weight Loss,Healthy,"breakfast maharashtrian vegetarian weight_loss healthy"
Misal Pav,Breakfast,Maharashtrian,Vegetarian,High Protein,Spicy,"breakfast maharashtrian vegetarian high_protein spicy"
Sabudana Khichdi,Breakfast,Maharashtrian,Vegetarian,Balanced,Festive,"breakfast maharashtrian vegetarian balanced festive"
Thalipeeth,Breakfast,Maharashtrian,Vegetarian,Healthy,Healthy,"breakfast maharashtrian vegetarian healthy healthy"
Kande Pohe,Breakfast,Maharashtrian,Vegetarian,Weight Loss,Healthy,"breakfast maharashtrian vegetarian weight_loss healthy"
Ghavan,Breakfast,Maharashtrian,Vegetarian,Balanced,Comfort Food,"breakfast maharashtrian vegetarian balanced comfort"
Batata Poha,Breakfast,Maharashtrian,Vegetarian,Balanced,Energetic,"breakfast maharashtrian vegetarian balanced energetic"

Pav Bhaji,Brunch,Maharashtrian,Vegetarian,Weight Gain,Party,"brunch maharashtrian vegetarian weight_gain party"
Vada Pav,Brunch,Maharashtrian,Vegetarian,Weight Gain,Comfort Food,"brunch maharashtrian vegetarian weight_gain comfort"
Misal Pav,Brunch,Maharashtrian,Vegetarian,High Protein,Spicy,"brunch maharashtrian vegetarian high_protein spicy"
Kothimbir Vadi,Brunch,Maharashtrian,Vegetarian,Balanced,Healthy,"brunch maharashtrian vegetarian balanced healthy"
Sabudana Vada,Brunch,Maharashtrian,Vegetarian,Weight Gain,Festive,"brunch maharashtrian vegetarian weight_gain festive"
Puran Poli,Brunch,Maharashtrian,Vegetarian,Weight Gain,Festive,"brunch maharashtrian vegetarian weight_gain festive"
Alu Wadi,Brunch,Maharashtrian,Vegetarian,Balanced,Comfort Food,"brunch maharashtrian vegetarian balanced comfort"

Pithla Bhakri,Lunch,Maharashtrian,Vegetarian,Balanced,Comfort Food,"lunch maharashtrian vegetarian balanced comfort"
Varan Bhaat,Lunch,Maharashtrian,Vegetarian,Weight Loss,Healthy,"lunch maharashtrian vegetarian weight_loss healthy"
Masale Bhaat,Lunch,Maharashtrian,Vegetarian,Balanced,Festive,"lunch maharashtrian vegetarian balanced festive"
Bharli Vangi,Lunch,Maharashtrian,Vegetarian,Balanced,Spicy,"lunch maharashtrian vegetarian balanced spicy"
Matki Usal,Lunch,Maharashtrian,Vegetarian,High Protein,Energetic,"lunch maharashtrian vegetarian high_protein energetic"
Kolhapuri Veg,Lunch,Maharashtrian,Vegetarian,Balanced,Spicy,"lunch maharashtrian vegetarian balanced spicy"
Amti Bhaat,Lunch,Maharashtrian,Vegetarian,Balanced,Comfort Food,"lunch maharashtrian vegetarian balanced comfort"

Vada Pav,Evening Snacks,Maharashtrian,Vegetarian,Weight Gain,Comfort Food,"snacks maharashtrian vegetarian weight_gain comfort"
Bhel Puri,Evening Snacks,Maharashtrian,Vegetarian,Balanced,Energetic,"snacks maharashtrian vegetarian balanced energetic"
Sabudana Vada,Evening Snacks,Maharashtrian,Vegetarian,Weight Gain,Festive,"snacks maharashtrian vegetarian weight_gain festive"
Kothimbir Vadi,Evening Snacks,Maharashtrian,Vegetarian,Balanced,Healthy,"snacks maharashtrian vegetarian balanced healthy"
Alu Wadi,Evening Snacks,Maharashtrian,Vegetarian,Balanced,Comfort Food,"snacks maharashtrian vegetarian balanced comfort"
Bhadang,Evening Snacks,Maharashtrian,Vegetarian,Balanced,Spicy,"snacks maharashtrian vegetarian balanced spicy"
Misal Pav,Evening Snacks,Maharashtrian,Vegetarian,High Protein,Spicy,"snacks maharashtrian vegetarian high_protein spicy"

Veg Kolhapuri,Dinner,Maharashtrian,Vegetarian,Balanced,Spicy,"dinner maharashtrian vegetarian balanced spicy"
Pithla Bhakri,Dinner,Maharashtrian,Vegetarian,Balanced,Comfort Food,"dinner maharashtrian vegetarian balanced comfort"
Varan Bhaat,Dinner,Maharashtrian,Vegetarian,Weight Loss,Healthy,"dinner maharashtrian vegetarian weight_loss healthy"
Bharli Vangi,Dinner,Maharashtrian,Vegetarian,Balanced,Spicy,"dinner maharashtrian vegetarian balanced spicy"
Masale Bhaat,Dinner,Maharashtrian,Vegetarian,Balanced,Festive,"dinner maharashtrian vegetarian balanced festive"
Matki Usal,Dinner,Maharashtrian,Vegetarian,High Protein,Energetic,"dinner maharashtrian vegetarian high_protein energetic"
Amti Bhaat,Dinner,Maharashtrian,Vegetarian,Balanced,Comfort Food,"dinner maharashtrian vegetarian balanced comfort"

Luchi Aloo Dum,Breakfast,Bengali,Vegetarian,Weight Gain,Comfort Food,"breakfast bengali vegetarian weight_gain comfort"
Chirer Pulao,Breakfast,Bengali,Vegetarian,Balanced,Healthy,"breakfast bengali vegetarian balanced healthy"
Radhaballabhi,Breakfast,Bengali,Vegetarian,Weight Gain,Festive,"breakfast bengali vegetarian weight_gain festive"
Suji Upma,Breakfast,Bengali,Vegetarian,Weight Loss,Healthy,"breakfast bengali vegetarian weight_loss healthy"
Egg Toast,Breakfast,Bengali,Non Vegetarian,High Protein,Energetic,"breakfast bengali non_vegetarian high_protein energetic"
Dim Bhurji,Breakfast,Bengali,Non Vegetarian,High Protein,Spicy,"breakfast bengali non_vegetarian high_protein spicy"
Muri Ghugni,Breakfast,Bengali,Vegetarian,Balanced,Comfort Food,"breakfast bengali vegetarian balanced comfort"

Ghugni,Brunch,Bengali,Vegetarian,Balanced,Comfort Food,"brunch bengali vegetarian balanced comfort"
Vegetable Chop,Brunch,Bengali,Vegetarian,Balanced,Festive,"brunch bengali vegetarian balanced festive"
Mughlai Paratha,Brunch,Bengali,Non Vegetarian,Weight Gain,Party,"brunch bengali non_vegetarian weight_gain party"
Fish Cutlet,Brunch,Bengali,Non Vegetarian,High Protein,Party,"brunch bengali non_vegetarian high_protein party"
Paneer Chop,Brunch,Bengali,Vegetarian,High Protein,Energetic,"brunch bengali vegetarian high_protein energetic"
Egg Roll,Brunch,Bengali,Non Vegetarian,Balanced,Comfort Food,"brunch bengali non_vegetarian balanced comfort"
Chicken Roll,Brunch,Bengali,Non Vegetarian,High Protein,Spicy,"brunch bengali non_vegetarian high_protein spicy"

Fish Curry Rice,Lunch,Bengali,Non Vegetarian,Balanced,Festive,"lunch bengali non_vegetarian balanced festive"
Chingri Malai Curry,Lunch,Bengali,Non Vegetarian,High Protein,Party,"lunch bengali non_vegetarian high_protein party"
Shukto,Lunch,Bengali,Vegetarian,Healthy,Healthy,"lunch bengali vegetarian healthy healthy"
Aloo Posto,Lunch,Bengali,Vegetarian,Balanced,Comfort Food,"lunch bengali vegetarian balanced comfort"
Mochar Ghonto,Lunch,Bengali,Vegetarian,Balanced,Festive,"lunch bengali vegetarian balanced festive"
Egg Curry Rice,Lunch,Bengali,Non Vegetarian,High Protein,Energetic,"lunch bengali non_vegetarian high_protein energetic"
Chicken Kosha,Lunch,Bengali,Non Vegetarian,Weight Gain,Spicy,"lunch bengali non_vegetarian weight_gain spicy"

Jhal Muri,Evening Snacks,Bengali,Vegetarian,Balanced,Energetic,"snacks bengali vegetarian balanced energetic"
Vegetable Chop,Evening Snacks,Bengali,Vegetarian,Balanced,Comfort Food,"snacks bengali vegetarian balanced comfort"
Fish Fry,Evening Snacks,Bengali,Non Vegetarian,High Protein,Party,"snacks bengali non_vegetarian high_protein party"
Egg Devil,Evening Snacks,Bengali,Non Vegetarian,High Protein,Spicy,"snacks bengali non_vegetarian high_protein spicy"
Chicken Pakora,Evening Snacks,Bengali,Non Vegetarian,High Protein,Spicy,"snacks bengali non_vegetarian high_protein spicy"
Muri Mix,Evening Snacks,Bengali,Vegetarian,Weight Loss,Healthy,"snacks bengali vegetarian weight_loss healthy"
Paneer Cutlet,Evening Snacks,Bengali,Vegetarian,High Protein,Energetic,"snacks bengali vegetarian high_protein energetic"

Fish Fry,Dinner,Bengali,Non Vegetarian,Balanced,Festive,"dinner bengali non_vegetarian balanced festive"
Chicken Kosha,Dinner,Bengali,Non Vegetarian,Weight Gain,Spicy,"dinner bengali non_vegetarian weight_gain spicy"
Egg Curry,Dinner,Bengali,Non Vegetarian,High Protein,Comfort Food,"dinner bengali non_vegetarian high_protein comfort"
Shukto,Dinner,Bengali,Vegetarian,Healthy,Healthy,"dinner bengali vegetarian healthy healthy"
Aloo Posto,Dinner,Bengali,Vegetarian,Balanced,Comfort Food,"dinner bengali vegetarian balanced comfort"
Mochar Ghonto,Dinner,Bengali,Vegetarian,Balanced,Festive,"dinner bengali vegetarian balanced festive"
Paneer Curry,Dinner,Bengali,Vegetarian,High Protein,Party,"dinner bengali vegetarian high_protein party"

Hyderabadi Khichdi,Breakfast,Hyderabadi,Vegetarian,Balanced,Comfort Food,"breakfast hyderabadi vegetarian balanced comfort"
Osmania Biscuit,Breakfast,Hyderabadi,Vegetarian,Balanced,Festive,"breakfast hyderabadi vegetarian balanced festive"
Upma,Breakfast,Hyderabadi,Vegetarian,Weight Loss,Healthy,"breakfast hyderabadi vegetarian weight_loss healthy"
Egg Keema,Breakfast,Hyderabadi,Non Vegetarian,High Protein,Energetic,"breakfast hyderabadi non_vegetarian high_protein energetic"
Omelette,Breakfast,Hyderabadi,Non Vegetarian,High Protein,Healthy,"breakfast hyderabadi non_vegetarian high_protein healthy"
Chicken Sandwich,Breakfast,Hyderabadi,Non Vegetarian,High Protein,Energetic,"breakfast hyderabadi non_vegetarian high_protein energetic"
Poha,Breakfast,Hyderabadi,Vegetarian,Weight Loss,Healthy,"breakfast hyderabadi vegetarian weight_loss healthy"

Veg Haleem,Brunch,Hyderabadi,Vegetarian,High Protein,Comfort Food,"brunch hyderabadi vegetarian high_protein comfort"
Chicken Haleem,Brunch,Hyderabadi,Non Vegetarian,High Protein,Energetic,"brunch hyderabadi non_vegetarian high_protein energetic"
Veg Wrap,Brunch,Hyderabadi,Vegetarian,Balanced,Energetic,"brunch hyderabadi vegetarian balanced energetic"
Paneer Tikka,Brunch,Hyderabadi,Vegetarian,High Protein,Spicy,"brunch hyderabadi vegetarian high_protein spicy"
Chicken Roll,Brunch,Hyderabadi,Non Vegetarian,High Protein,Spicy,"brunch hyderabadi non_vegetarian high_protein spicy"
Osmania Biscuit Tea Combo,Brunch,Hyderabadi,Vegetarian,Balanced,Comfort Food,"brunch hyderabadi vegetarian balanced comfort"
Egg Roll,Brunch,Hyderabadi,Non Vegetarian,Balanced,Party,"brunch hyderabadi non_vegetarian balanced party"

Veg Biryani,Lunch,Hyderabadi,Vegetarian,Balanced,Party,"lunch hyderabadi vegetarian balanced party"
Bagara Baingan,Lunch,Hyderabadi,Vegetarian,Balanced,Spicy,"lunch hyderabadi vegetarian balanced spicy"
Mirchi Ka Salan,Lunch,Hyderabadi,Vegetarian,Balanced,Spicy,"lunch hyderabadi vegetarian balanced spicy"
Veg Haleem,Lunch,Hyderabadi,Vegetarian,High Protein,Comfort Food,"lunch hyderabadi vegetarian high_protein comfort"
Double Ka Meetha Combo,Lunch,Hyderabadi,Vegetarian,Weight Gain,Festive,"lunch hyderabadi vegetarian weight_gain festive"
